image_x image_y
1061.585571 628.356934
1130.660522 626.894714
1200.338623 625.371460
1270.491821 623.862061
1340.950928 622.333618
1411.517944 620.802490
1482.031250 619.230286
1063.539551 697.297241
1132.431030 696.186096
1201.903198 694.979248
1271.885620 693.702759
1342.095703 692.390747
1412.468018 690.948608
1482.753906 689.482788
1065.579834 765.726440
1134.196899 764.930359
1203.428101 764.013916
1273.097900 762.980530
1343.083130 761.822876
1413.158813 760.553833
1483.178833 759.122009
1067.581787 833.456421
1135.874023 832.998291
1204.800293 832.385925
1274.188965 831.574585
1343.851196 830.590637
1413.596558 829.429688
1483.269165 828.094116
1069.568726 900.372925
1137.549072 900.220581
1206.111084 899.884216
1275.125366 899.280884
1344.406250 898.476929
1413.753418 897.437500
1483.042236 896.157104
1071.614380 966.305115
1139.171143 966.473938
1207.315918 966.408386
1275.931274 966.027222
1344.768799 965.389771
1413.664062 964.454163
1482.485596 963.165833
1073.637939 1031.117920
1140.735352 1031.596558
1208.458862 1031.752197
1276.523560 1031.607788
1344.911011 1031.111328
1413.310425 1030.193848
1481.592896 1029.023926
