image_x image_y
588.987000 138.836533
586.142395 175.565704
582.666382 212.119324
578.664185 248.691696
573.941772 284.782593
568.682800 320.349060
563.058350 355.108337
556.742676 388.635101
550.197937 420.679688
552.910767 136.030365
550.244751 171.945801
546.853577 208.232407
542.848083 244.203812
538.666870 280.139099
533.574646 315.152344
528.452576 349.522644
522.711731 382.393616
516.848328 414.397522
517.622925 133.218185
514.926147 168.604752
511.450073 204.265686
507.779785 240.030228
503.523132 275.136688
499.140350 309.789581
494.323090 343.671967
489.294556 376.310608
483.993286 407.970947
483.036102 130.637833
480.350952 165.806290
476.928680 200.651291
473.344299 235.801895
469.343445 270.194489
465.275574 304.109406
460.850647 337.682251
456.552826 370.128204
451.588837 401.193207
449.475525 128.615097
446.598389 162.845413
443.207062 197.571930
439.812683 231.726761
436.325928 265.838501
432.635132 298.944977
428.568207 331.802612
424.597717 363.734680
420.428925 394.300964
417.045532 126.959541
414.188660 160.388611
410.983734 194.243347
407.601013 227.872375
404.441559 260.969299
400.860565 293.704498
397.168762 325.665222
393.606689 357.081299
390.201050 387.194885
