image_x image_y
203.291336 682.144958
263.105774 679.691223
324.405579 677.117310
386.966583 674.412109
450.754456 671.653687
515.473816 668.802490
581.157104 665.908752
208.095810 747.050415
267.839478 745.015503
328.997101 742.799683
391.486084 740.491455
455.077698 737.987488
519.700562 735.378174
585.181519 732.578979
213.553879 811.525879
273.142487 809.906738
334.129456 808.109070
396.396759 806.063721
459.858276 803.840332
524.260315 801.433777
589.563171 798.836853
219.610748 875.317871
279.030945 874.130676
339.858368 872.721985
401.859253 871.034485
465.021667 869.073914
529.200378 866.897583
594.255371 864.476196
226.300766 938.397034
285.473206 937.636719
345.991882 936.591614
407.774109 935.229553
470.647827 933.544861
534.488647 931.578674
599.258667 929.344238
233.482086 1000.591431
292.388550 1000.254578
352.701630 999.522949
414.193542 998.501831
476.701324 997.116089
540.188416 995.368774
604.515198 993.308777
241.289948 1061.774292
299.889496 1061.845215
359.824890 1061.514038
420.935547 1060.806274
483.139740 1059.661621
546.161804 1058.187256
610.131958 1056.249512
