image_x image_y
256.242615 357.237244
255.249130 334.416962
254.406372 308.856323
253.253342 280.345917
252.675613 248.466812
251.769913 212.851883
251.309769 172.559113
251.148132 128.066589
251.465149 78.162071
291.524200 365.911774
292.583435 343.436768
293.609039 318.129578
295.135529 289.834229
296.866028 258.051880
298.811066 222.280792
301.143005 182.217361
303.759552 136.919601
307.011200 86.638222
327.820221 374.227448
330.978455 352.265442
334.326141 327.209106
338.106934 299.253601
342.291595 267.766083
347.089996 232.277435
352.410400 192.125671
358.506470 146.983505
365.087524 96.759254
364.498291 382.316467
369.550568 360.396515
375.252136 335.937561
381.538788 308.326355
388.445526 277.495636
396.133240 242.250504
404.644318 202.774445
413.925598 157.862762
424.231262 107.840340
401.271210 389.798248
408.370117 368.600555
416.443573 344.495941
425.195801 317.435669
434.715363 286.740509
445.330963 252.375092
456.762085 213.580032
469.542328 169.371353
483.102051 120.133133
437.778870 396.728027
446.727448 376.039612
457.086029 352.285095
468.015411 325.901642
480.237610 296.101379
493.515411 262.278534
507.954285 224.138733
523.411865 181.132996
540.008301 133.138077
