image_x image_y
321.525909 100.607277
310.958374 135.544083
299.729797 173.006531
287.601776 212.955795
275.437622 255.595901
262.557037 299.990662
249.873398 346.024811
236.464920 393.651184
223.795502 441.364685
282.887207 98.026672
271.252502 131.680634
258.980133 168.358734
246.294754 207.132950
233.303879 248.211578
219.992401 291.196716
206.641983 335.645966
193.426071 381.460114
180.462067 427.563660
246.281494 95.616867
233.797363 128.346619
220.736923 164.053757
207.529572 201.574997
194.020447 241.078323
180.458878 282.581085
166.650070 325.462341
153.491684 369.593933
140.693863 413.965240
212.023743 93.933037
198.706451 126.153473
185.272415 160.292526
171.791962 196.298309
157.732300 234.561447
144.020004 274.347351
130.204071 315.793457
116.982948 358.362244
104.386787 400.921326
179.977280 92.350883
166.158981 123.694687
152.446869 156.563843
138.171082 192.047699
124.443069 228.607147
110.408600 267.027222
96.758392 306.530212
83.828308 347.187408
71.388824 388.288269
150.036743 91.966812
136.006866 121.954178
121.993309 154.154266
107.941010 187.900650
93.953293 223.223587
80.035919 259.888580
66.742554 297.965729
53.971085 336.935425
41.689079 376.183258
